id,message,intent,expected_action,reason,subcategory
gold_001,Where is my package? The tracking number 9400111899562537612344 has not updated in 4 days.,delivery_tracking_delay,AUTO_HANDLE,Provide tracking link and carrier delivery timeline.,common
gold_002,My order was supposed to be delivered yesterday by 8 PM but never arrived. Can you check the status?,delivery_tracking_delay,AUTO_HANDLE,Explain carrier status and suggest checking safe drop locations.,common
gold_003,"Tracking says delivered to front porch at 2:15 PM, but I was home and nothing is there.",delivery_tracking_delay,ESCALATE,Missing package marked delivered requires investigation/carrier trace.,complaint
gold_004,Package has been stuck at the local sorting facility for 48 hours. Is it delayed?,delivery_tracking_delay,AUTO_HANDLE,Acknowledge transit delay and offer estimated delivery window.,common
gold_005,USPS says attempted delivery no access to front gate. What should I do?,delivery_tracking_delay,AUTO_HANDLE,Instruct customer to update gate delivery instructions or schedule redelivery.,common
gold_006,My order is showing 'Out for delivery' since 7 AM. Will it arrive tonight?,delivery_tracking_delay,AUTO_HANDLE,Inform customer that deliveries run until 9 PM local time.,common
gold_007,"Ordered with guaranteed 1-day delivery for a birthday today, and it hasn't even shipped yet!",delivery_tracking_delay,ESCALATE,Broken delivery guarantee on time-sensitive gift warrants escalation.,complaint
gold_008,Can I change the delivery address while the package is already in transit?,delivery_tracking_delay,AUTO_HANDLE,Direct customer to carrier intercept policy or delivery instructions.,common
gold_009,The driver left the package in the pouring rain without plastic wrapping.,delivery_tracking_delay,ESCALATE,Driver negligence causing package damage risk requires review.,complaint
gold_010,"Tracking says delivered to mailroom, but our building does not have a mailroom.",delivery_tracking_delay,ESCALATE,Misdelivered to nonexistent location requires driver follow-up.,edge_case
gold_011,pkg late af where is it??,delivery_tracking_delay,AUTO_HANDLE,Informal slang tracking inquiry; standard tracking check applies.,informal_slang
gold_012,Still waiting for order #402-9918231...,delivery_tracking_delay,AUTO_HANDLE,Short status inquiry; route to order tracking.,short
gold_013,delivery late,delivery_tracking_delay,AUTO_HANDLE,Extremely short inquiry; provide tracking guidance.,short
gold_014,Driver drove right past my house and marked delivery attempted!!,delivery_tracking_delay,ESCALATE,Driver conduct dispute requires human investigation.,complaint
gold_015,Why does Hermes keep delivering to the wrong street in my neighborhood?,delivery_tracking_delay,ESCALATE,Recurring carrier location failure needs agent intervention.,complaint
gold_016,Is there any delay due to the snowstorm in Chicago for packages shipped today?,delivery_tracking_delay,AUTO_HANDLE,General weather advisory regarding regional transit delays.,common
gold_017,Can the driver call me 10 minutes before arriving at my apartment?,delivery_tracking_delay,AUTO_HANDLE,Explain carrier policy on direct driver telephone calls.,common
gold_018,Package marked handed to resident but nobody was home!,delivery_tracking_delay,ESCALATE,Potential fraudulent delivery scan or misdelivery.,complaint
gold_019,Tracking link shows an error 404 page.,delivery_tracking_delay,AUTO_HANDLE,Guide customer to account order history for direct status.,edge_case
gold_020,"Ordered groceries on Prime Now, 2 hours late and ice cream is going to melt!",delivery_tracking_delay,ESCALATE,Perishable delivery delay requires immediate escalation or refund.,complaint
gold_021,Why does my package say forwarded to different address?,delivery_tracking_delay,ESCALATE,Unintended forwarding could indicate mail routing issue.,edge_case
gold_022,Any update on tracking ID TBA882910399120?,delivery_tracking_delay,AUTO_HANDLE,Standard tracking lookup request.,common
gold_023,Can I pick up my package directly from the Amazon fulfillment center?,delivery_tracking_delay,AUTO_HANDLE,Provide policy on public access to fulfillment centers.,rare
gold_024,"Ordered 5 items together, 4 arrived today but 1 is missing from the box.",delivery_tracking_delay,AUTO_HANDLE,Explain split shipments and direct to order breakdown in account.,common
gold_025,My parcel was delivered to a neighbor two houses down without permission.,delivery_tracking_delay,ESCALATE,Misdelivery privacy/neighbor dispute requires agent attention.,complaint
gold_026,Says expected by 9 PM. It is now 9:30 PM. What happens now?,delivery_tracking_delay,AUTO_HANDLE,Explain carrier end-of-day protocols and next morning buffer.,common
gold_027,Tracking status has been 'Label Created' for 6 days with no carrier movement.,delivery_tracking_delay,ESCALATE,Prolonged pre-shipment stall suggests lost inventory.,complaint
gold_028,Does Sunday delivery cost extra?,delivery_tracking_delay,AUTO_HANDLE,State Sunday delivery policy and Prime eligibility.,common
gold_029,Where's my stufffff,delivery_tracking_delay,AUTO_HANDLE,Informal vague delivery query; request order identifier.,informal_slang
gold_030,driver threw box over 8ft fence and broke ceramic inside,delivery_tracking_delay,ESCALATE,Delivery property damage and broken goods require human claims handling.,complaint
gold_031,Can I reschedule delivery to next Tuesday?,delivery_tracking_delay,AUTO_HANDLE,Direct to carrier delivery manager options.,common
gold_032,Is international priority shipping insured against transit loss?,delivery_tracking_delay,AUTO_HANDLE,Provide standard transit insurance policy.,rare
gold_033,Tracking number is showing delivered in a completely different state (California instead of Texas)!,delivery_tracking_delay,ESCALATE,Recycled tracking number or severe misrouting requires human fix.,edge_case
gold_034,Package delayed due to customs clearance check in Heathrow.,delivery_tracking_delay,AUTO_HANDLE,Explain standard international customs holding timelines.,rare
gold_035,My package was delivered to the locker but the pickup code is expired.,delivery_tracking_delay,AUTO_HANDLE,Provide Amazon Locker expired code reissuance instructions.,common
gold_036,The coffee maker arrived with a shattered glass carafe. How do I get a replacement?,return_and_replacement,AUTO_HANDLE,Provide standard damaged item replacement workflow.,common
gold_037,I ordered size 9 boots but received size 11 in the box. Can you send the right size?,return_and_replacement,AUTO_HANDLE,Guide customer through wrong size exchange process.,common
gold_038,The electronic headphones won't turn on or charge right out of the box.,return_and_replacement,AUTO_HANDLE,Explain 30-day defective return/exchange policy.,common
